Disease_name,Gene_name,Gene_ID,Tissue
46XY sex reversal 9,ZFPM2,ENSG00000169946,Testis
"Ciliary dyskinesia, primary, 24",RSPH1,ENSG00000160188,Testis
"Ciliary dyskinesia, primary, 17",CCDC103,ENSG00000167131,Testis
"46XY sex reversal 2, dosage-sensitive",NR0B1,ENSG00000169297,Testis
"Ciliary dyskinesia, primary, 7, with or without situs inversus",DNAH11,ENSG00000105877,Testis
"Mitochondrial complex III deficiency, nuclear type 1",BCS1L,ENSG00000074582,Testis
"Cardiomyopathy, dilated, 1NN",RAF1,ENSG00000132155,Testis
"Thyroid carcinoma, follicular, somatic",NRAS,ENSG00000213281,Testis
"{Thyroid carcinoma, follicular}",MINPP1,ENSG00000107789,Testis
"Thyroid carcinoma, follicular, somatic",HRAS,ENSG00000174775,Testis
"{Thyroid cancer, nonmedullary, 2}",SRGAP1,ENSG00000196935,Testis
Noonan syndrome 3,KRAS,ENSG00000133703,Testis
Bjornstad syndrome,BCS1L,ENSG00000074582,Testis
Hypogonadotropic hypogonadism 4 with or without anosmia,PROK2,ENSG00000163421,Testis
46XY sex reversal 1,SRY,ENSG00000184895,Testis
"Ciliary dyskinesia, primary, 36, X-linked",DNAAF6,ENSG00000080572,Testis
"Ciliary dyskinesia, primary, 12",RSPH9,ENSG00000172426,Testis
Hypogonadotropic hypogonadism 2 with or without anosmia,FGFR1,ENSG00000077782,Testis
Hypogonadotropic hypogonadism 9 with or without anosmia,NSMF,ENSG00000165802,Testis
Hypogonadotropic hypogonadism 10 with or without anosmia,TAC3,ENSG00000166863,Testis
Spermatogenic failure 12,NANOS1,ENSG00000188613,Testis
McKusick-Kaufman syndrome,MKKS,ENSG00000125863,Testis
Hypogonadotropic hypogonadism 8 with or without anosmia,KISS1R,ENSG00000116014,Testis
GRACILE syndrome,BCS1L,ENSG00000074582,Testis
"Opitz GBBB syndrome, type I",MID1,ENSG00000101871,Testis
"Ciliary dyskinesia, primary, 21",DRC1,ENSG00000157856,Testis
"Ciliary dyskinesia, primary, 33",GAS8,ENSG00000141013,Testis
Hypogonadotropic hypogonadism 14 with or without anosmia,WDR11,ENSG00000120008,Testis
46XY sex reversal 3,NR5A1,ENSG00000136931,Testis
"Robinow syndrome, autosomal dominant 2",DVL1,ENSG00000107404,Testis
Neu-Laxova syndrome 2,PSAT1,ENSG00000135069,Testis
"Hypogonadotropic hypogonadism 22, with or without anosmia",FEZF1,ENSG00000128610,Testis
"Anemia, sideroblastic, 4",HSPA9,ENSG00000113013,Testis
"Ciliary dyskinesia, primary, 30",ODAD3,ENSG00000198003,Testis
"Robinow syndrome, autosomal dominant 1",WNT5A,ENSG00000114251,Testis
Noonan syndrome 8,RIT1,ENSG00000143622,Testis
Acampomelic campomelic dysplasia,SOX9,ENSG00000125398,Testis
Campomelic dysplasia,SOX9,ENSG00000125398,Testis
Campomelic dysplasia with autosomal sex reversal,SOX9,ENSG00000125398,Testis
"Ciliary dyskinesia, primary, 11",RSPH4A,ENSG00000111834,Testis
"Trichothiodystrophy 4, nonphotosensitive",MPLKIP,ENSG00000168303,Testis
"Robinow syndrome, autosomal recessive",ROR2,ENSG00000169071,Testis
Spermatogenic failure 10,SEPTIN12,ENSG00000140623,Testis
Hemochromatosis,HFE,ENSG00000010704,Testis
"{HFE hemochromatosis, modifier of}",BMP2,ENSG00000125845,Testis
"{Bronchiectasis with or without elevated sweat chloride 1, modifier of}",CFTR,ENSG00000001626,Testis
Bronchiectasis with or without elevated sweat chloride 1,SCNN1B,ENSG00000168447,Testis
Meier-Gorlin syndrome 1,ORC1,ENSG00000085840,Testis
46XY sex reversal 7,DHH,ENSG00000139549,Testis
Spermatogenic failure 11,KLHL10,ENSG00000161594,Testis
Hypogonadotropic hypogonadism 11 with or without anosmia,TACR3,ENSG00000169836,Testis
"Trichothiodystrophy 6, nonphotosensitive",GTF2E2,ENSG00000197265,Testis
"Hemochromatosis, type 2B",HAMP,ENSG00000105697,Testis
"Ciliary dyskinesia, primary, 29",CCNO,ENSG00000152669,Testis
Hypogonadotropic hypogonadism 19 with or without anosmia,DUSP6,ENSG00000139318,Testis
"Trichothiodystrophy 1, photosensitive",ERCC2,ENSG00000104884,Testis
Hypogonadotropic hypogonadism 17 with or without anosmia,SPRY4,ENSG00000187678,Testis
Hypogonadotropic hypogonadism 18 with or without anosmia,IL17RD,ENSG00000144730,Testis
Bardet-Biedl syndrome 12,BBS12,ENSG00000181004,Testis
Hypogonadotropic hypogonadism 24 without anosmia,FSHB,ENSG00000131808,Testis
Bardet-Biedl syndrome 10,BBS10,ENSG00000179941,Testis
LEOPARD syndrome 1,PTPN11,ENSG00000179295,Testis
Hypogonadotropic hypogonadism 3 with or without anosmia,PROKR2,ENSG00000101292,Testis
46XY sex reversal 8,AKR1C2,ENSG00000151632,Testis
"{46XY sex reversal 8, modifier of}",AKR1C4,ENSG00000198610,Testis
"Ciliary dyskinesia, primary, 18",DNAAF5,ENSG00000164818,Testis
"Ciliary dyskinesia, primary, 35",ODAD4,ENSG00000204815,Testis
"Ciliary dyskinesia, primary, 34",DNAJB13,ENSG00000187726,Testis
"Trichothiodystrophy 3, photosensitive",GTF2H5,ENSG00000272047,Testis
"Trichothiodystrophy 2, photosensitive",ERCC3,ENSG00000163161,Testis
Noonan syndrome 1,PTPN11,ENSG00000179295,Testis
Cardiofaciocutaneous syndrome 2,KRAS,ENSG00000133703,Testis
Carpenter syndrome,RAB23,ENSG00000112210,Testis
Hypogonadotropic hypogonadism 21 with anosmia,FLRT3,ENSG00000125848,Testis
Hypogonadotropic hypogonadism 20 with or without anosmia,FGF17,ENSG00000158815,Testis
Even-plus syndrome,HSPA9,ENSG00000113013,Testis
"Ciliary dyskinesia, primary, 9, with or without situs inversus",DNAI2,ENSG00000171595,Testis
Warburg micro syndrome 1,RAB3GAP1,ENSG00000115839,Testis
"Hemochromatosis, type 2A",HJV,ENSG00000168509,Testis
"Ciliary dyskinesia, primary, 22",ZMYND10,ENSG00000004838,Testis
Noonan syndrome 9,SOS2,ENSG00000100485,Testis
Spermatogenic failure 18,DNAH1,ENSG00000114841,Testis
Warburg micro syndrome 3,RAB18,ENSG00000099246,Testis
Warburg micro syndrome 2,RAB3GAP2,ENSG00000118873,Testis
Meier-Gorlin syndrome 7,CDC45,ENSG00000093009,Testis
Hypogonadotropic hypogonadism 23 with or without anosmia,LHB,ENSG00000104826,Testis
Spermatogenic failure 7,CATSPER1,ENSG00000175294,Testis
Noonan syndrome 5,RAF1,ENSG00000132155,Testis
LEOPARD syndrome 2,RAF1,ENSG00000132155,Testis
Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1),ANOS1,ENSG00000011201,Testis
"3-methylglutaconic aciduria, type V",DNAJC19,ENSG00000205981,Testis
"Spermatogenic failure, Y-linked, 2",USP9Y,ENSG00000114374,Testis
Bardet-Biedl syndrome 6,MKKS,ENSG00000125863,Testis
Meier-Gorlin syndrome 3,ORC6,ENSG00000091651,Testis
Meier-Gorlin syndrome 4,CDT1,ENSG00000167513,Testis
"Ciliary dyskinesia, primary, 14",CCDC39,ENSG00000284862,Testis
"Ciliary dyskinesia, primary, 23",ODAD2,ENSG00000169126,Testis
Hypogonadotropic hypogonadism 5 with or without anosmia,CHD7,ENSG00000171316,Testis
Noonan syndrome 10,LZTR1,ENSG00000099949,Testis
"Hemochromatosis, type 4",SLC40A1,ENSG00000138449,Testis
Meier-Gorlin syndrome 6,GMNN,ENSG00000112312,Testis
"Ciliary dyskinesia, primary, 6",NME8,ENSG00000086288,Testis
Noonan syndrome 4,SOS1,ENSG00000115904,Testis
Spermatogenic failure 5,AURKC,ENSG00000105146,Testis
"Ciliary dyskinesia, primary, 32",RSPH3,ENSG00000130363,Testis
"Ciliary dyskinesia, primary, 20",ODAD1,ENSG00000105479,Testis
Spermatogenic failure 8,NR5A1,ENSG00000136931,Testis
Warburg micro syndrome 4,TBC1D20,ENSG00000125875,Testis
Spermatogenic failure 4,SYCP3,ENSG00000139351,Testis
"Pregnancy loss, recurrent, 4",SYCP3,ENSG00000139351,Testis
"Ciliary dyskinesia, primary, 28",SPAG1,ENSG00000104450,Testis
"Ciliary dyskinesia, primary, 27",CCDC65,ENSG00000139537,Testis
Spermatogenic failure 9,DPY19L2,ENSG00000177990,Testis
"Ciliary dyskinesia, primary, 26",CFAP298,ENSG00000159079,Testis
?Cataract 43,UNC45B,ENSG00000141161,Eye
"Myopathy, myofibrillar, 2",CRYAB,ENSG00000109846,Eye
Leber congenital amaurosis 4,AIPL1,ENSG00000129221,Eye
"Retinitis pigmentosa, juvenile",AIPL1,ENSG00000129221,Eye
Cone-rod dystrophy,AIPL1,ENSG00000129221,Eye
"3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia",CLPB,ENSG00000162129,Eye
"Cardiomyopathy, dilated, 1II",CRYAB,ENSG00000109846,Eye
"Cataract 16, multiple types",CRYAB,ENSG00000109846,Eye
Bardet-Biedl syndrome 6,MKKS,ENSG00000125863,Eye
Bardet-Biedl syndrome 12,BBS12,ENSG00000181004,Eye
"Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related",CRYAB,ENSG00000109846,Eye
"Cataract 9, multiple types",CRYAA,ENSG00000160202,Eye
McKusick-Kaufman syndrome,MKKS,ENSG00000125863,Eye
Bardet-Biedl syndrome 10,BBS10,ENSG00000179941,Eye
"3-methylglutaconic aciduria, type V",DNAJC19,ENSG00000205981,Eye
"Opitz GBBB syndrome, type II",SPECC1L,ENSG00000100014,Digestive system-Esophagus-Gastroesophageal junction
Feingold syndrome 2,FGLDS2,,Digestive system-Esophagus-Gastroesophageal junction
Feingold syndrome 1,MYCN,ENSG00000134323,Digestive system-Esophagus-Gastroesophageal junction
"Opitz GBBB syndrome, type I",MID1,ENSG00000101871,Digestive system-Esophagus-Gastroesophageal junction
Martsolf syndrome,RAB3GAP2,ENSG00000118873,Respiratory system-Trachea
Meier-Gorlin syndrome 6,GMNN,ENSG00000112312,Respiratory system-Trachea
Larsen syndrome,FLNB,ENSG00000136068,Respiratory system-Trachea
"Spondylometaepiphyseal dysplasia, short limb-hand type",DDR2,ENSG00000162733,Respiratory system-Trachea
Cerebrocostomandibular syndrome,SNRPB,ENSG00000125835,Respiratory system-Trachea
Neurodevelopmental disorder with visual defects and brain anomalies,HK1,ENSG00000156515,Respiratory system-Trachea
"Cutis laxa, autosomal recessive, type IC",LTBP4,ENSG00000090006,Respiratory system-Trachea
Pfeiffer syndrome,FGFR1,ENSG00000077782,Respiratory system-Trachea
Craniofacial-skeletal-dermatologic dysplasia,FGFR2,ENSG00000066468,Respiratory system-Trachea
Pfeiffer syndrome,FGFR2,ENSG00000066468,Respiratory system-Trachea
Kniest dysplasia,COL2A1,ENSG00000139219,Respiratory system-Trachea
"Charcot-Marie-Tooth disease, type 2R",TRIM2,ENSG00000109654,Respiratory system-Trachea
Meier-Gorlin syndrome 2,ORC4,ENSG00000115947,Respiratory system-Trachea
"Opitz GBBB syndrome, type II",SPECC1L,ENSG00000100014,Respiratory system-Trachea
Meier-Gorlin syndrome 3,ORC6,ENSG00000091651,Respiratory system-Trachea
Myhre syndrome,SMAD4,ENSG00000141646,Respiratory system-Trachea
Diaphanospondylodysostosis,BMPER,ENSG00000164619,Respiratory system-Trachea
Developmental delay with or without dysmorphic facies and autism,TRRAP,ENSG00000196367,Respiratory system-Trachea
Greenberg skeletal dysplasia,LBR,ENSG00000143815,Respiratory system-Trachea
"Chondrodysplasia punctata, X-linked dominant",EBP,ENSG00000147155,Respiratory system-Trachea
Chitayat syndrome,ERF,ENSG00000105722,Respiratory system-Trachea
Delpire-McNeill syndrome,SLC12A2,ENSG00000064651,Respiratory system-Trachea
"Vertebral, cardiac, renal, and limb defects syndrome 1",HAAO,ENSG00000162882,Respiratory system-Trachea
Mucopolysaccharidosis II,IDS,ENSG00000010404,Respiratory system-Trachea
Van Maldergem syndrome 1,DCHS1,ENSG00000166341,Respiratory system-Trachea
Van Maldergem syndrome 2,FAT4,ENSG00000196159,Respiratory system-Trachea
Acampomelic campomelic dysplasia,SOX9,ENSG00000125398,Respiratory system-Trachea
Campomelic dysplasia,SOX9,ENSG00000125398,Respiratory system-Trachea
Campomelic dysplasia with autosomal sex reversal,SOX9,ENSG00000125398,Respiratory system-Trachea
Apert syndrome,FGFR2,ENSG00000066468,Respiratory system-Trachea
Geleophysic dysplasia 3,LTBP3,ENSG00000168056,Respiratory system-Trachea
Agnathia-otocephaly complex,PRRX1,ENSG00000116132,Respiratory system-Trachea
?CHARGE syndrome,SEMA3E,ENSG00000170381,Respiratory system-Trachea
CHARGE syndrome,CHD7,ENSG00000171316,Respiratory system-Trachea
CHOPS syndrome,AFF4,ENSG00000072364,Respiratory system-Trachea
"Hereditary motor and sensory neuropathy, type IIc",TRPV4,ENSG00000111199,Peripheral nerve
"Charcot-Marie-Tooth disease, type 2E",NEFL,ENSG00000277586,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2X",SPG11,ENSG00000104133,Peripheral nerve
"Leukodystrophy, hypomyelinating, 3",AIMP1,ENSG00000164022,Peripheral nerve
"Spinal muscular atrophy, distal, autosomal recessive, 5",DNAJB2,ENSG00000135924,Peripheral nerve
"Neuropathy, hereditary sensory, type ID",ATL1,ENSG00000198513,Peripheral nerve
"Charcot-Marie-Tooth disease, type 4B1",MTMR2,ENSG00000087053,Peripheral nerve
"Neuropathy, hereditary sensory and autonomic, type IIB",RETREG1,ENSG00000154153,Peripheral nerve
"Charcot-Marie-Tooth disease, type 1B",MPZ,ENSG00000158887,Peripheral nerve
"Mental retardation, autosomal dominant 13",DYNC1H1,ENSG00000197102,Peripheral nerve
Coffin-Siris syndrome 3,SMARCB1,ENSG00000099956,Peripheral nerve
Coffin-Siris syndrome 3,SMARCB1,ENSG00000099956,Peripheral nerve
"Hypomyelinating neuropathy, congenital, 1",EGR2,ENSG00000122877,Peripheral nerve
"Hypomyelinating neuropathy, congenital, 1",EGR2,ENSG00000122877,Peripheral nerve
"Charcot-Marie-Tooth neuropathy, X-linked dominant, 1",GJB1,ENSG00000169562,Peripheral nerve
"Charcot-Marie-Tooth disease, type 1D",EGR2,ENSG00000122877,Peripheral nerve
"Charcot-Marie-Tooth disease, type 4A",GDAP1,ENSG00000104381,Peripheral nerve
"Neuropathy, hereditary sensory and autonomic, type V",NGF,ENSG00000134259,Peripheral nerve
"{Schwannomatosis-1, susceptibility to}",SMARCB1,ENSG00000099956,Peripheral nerve
"Schwannomatosis, somatic",NF2,ENSG00000186575,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal type 2M",DNM2,ENSG00000079805,Peripheral nerve
"Charcot-Marie-Tooth disease, dominant intermediate B",DNM2,ENSG00000079805,Peripheral nerve
"Charcot-Marie-Tooth disease, dominant intermediate C",YARS1,ENSG00000134684,Peripheral nerve
"Leukodystrophy, hypomyelinating, 5",FAM126A,ENSG00000122591,Peripheral nerve
Arts syndrome,PRPS1,ENSG00000147224,Peripheral nerve
Giant axonal neuropathy-1,GAN,ENSG00000261609,Peripheral nerve
Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1,VCP,ENSG00000165280,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2Z",MORC2,ENSG00000133422,Peripheral nerve
Cowchock syndrome,AIFM1,ENSG00000156709,Peripheral nerve
"Charcot-Marie-Tooth disease, type 4K",SURF1,ENSG00000148290,Peripheral nerve
"Charcot-Marie-Tooth disease, type 2Y",VCP,ENSG00000165280,Peripheral nerve
"Leukodystrophy, hypomyelinating, 12",VPS11,ENSG00000160695,Peripheral nerve
Mandibuloacral dysplasia,LMNA,ENSG00000160789,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2U",MARS1,ENSG00000166986,Peripheral nerve
"Charcot-Marie-Tooth disease, type 4J",FIG4,ENSG00000112367,Peripheral nerve
"Emery-Dreifuss muscular dystrophy 3, autosomal recessive",LMNA,ENSG00000160789,Peripheral nerve
"Charcot-Marie-Tooth disease, type 4B3",SBF1,ENSG00000100241,Peripheral nerve
"Leukodystrophy, hypomyelinating, 13",HIKESHI,ENSG00000149196,Peripheral nerve
"Episodic pain syndrome, familial, 2",SCN10A,ENSG00000185313,Peripheral nerve
"Episodic pain syndrome, familial, 3",SCN11A,ENSG00000168356,Peripheral nerve
"Neuropathy, hereditary sensory, with spastic paraplegia",CCT5,ENSG00000150753,Peripheral nerve
"Charcot-Marie-Tooth disease, type 1A",PMP22,ENSG00000109099,Peripheral nerve
"Charcot-Marie-Tooth disease, type 2R",TRIM2,ENSG00000109654,Peripheral nerve
"Deafness, X-linked 5",AIFM1,ENSG00000156709,Peripheral nerve
"Deafness, X-linked 5",AIFM1,ENSG00000156709,Peripheral nerve
"?Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus",DNAJC3,ENSG00000102580,Peripheral nerve
"Leukodystrophy, hypomyelinating, 8, with or without oligodontia and/or hypogonadotropic hypogonadism",POLR3B,ENSG00000013503,Peripheral nerve
"Charcot-Marie-Tooth disease, type 1C",LITAF,ENSG00000189067,Peripheral nerve
Hereditary motor and sensory neuropathy VIA,MFN2,ENSG00000116688,Peripheral nerve
"Spastic paraplegia 3A, autosomal dominant",ATL1,ENSG00000198513,Peripheral nerve
Developmental and epileptic encephalopathy 29,AARS1,ENSG00000090861,Peripheral nerve
"Cardiomyopathy, dilated, 1A",LMNA,ENSG00000160789,Peripheral nerve
"Charcot-Marie-Tooth disease, type 2D",GARS1,ENSG00000106105,Peripheral nerve
"Spastic paraplegia 11, autosomal recessive",SPG11,ENSG00000104133,Peripheral nerve
"Charcot-Marie-Tooth disease, recessive intermediate D",COX6A1,ENSG00000111775,Peripheral nerve
"Charcot-Marie-Tooth disease, type 2I",MPZ,ENSG00000158887,Peripheral nerve
"Lipodystrophy, familial partial, type 2",LMNA,ENSG00000160789,Peripheral nerve
"Charcot-Marie-Tooth disease, dominant intermediate D",MPZ,ENSG00000158887,Peripheral nerve
"Leukodystrophy, hypomyelinating, 6",TUBB4A,ENSG00000104833,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2L",HSPB8,ENSG00000152137,Peripheral nerve
"Dysautonomia, familial",ELP1,ENSG00000070061,Peripheral nerve
"Neuropathy, hereditary sensory and autonomic, type VII",SCN11A,ENSG00000168356,Peripheral nerve
"Neuropathy, hereditary sensory and autonomic, type II",WNK1,ENSG00000060237,Peripheral nerve
NESCAV syndrome,KIF1A,ENSG00000130294,Peripheral nerve
"Leukodystrophy, hypomyelinating, 2",GJC2,ENSG00000198835,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, with vocal cord paresis",GDAP1,ENSG00000104381,Peripheral nerve
"Charcot-Marie-Tooth disease, type 4H",FGD4,ENSG00000139132,Peripheral nerve
"Neuropathy, hereditary sensory and autonomic, type IA",SPTLC1,ENSG00000090054,Peripheral nerve
"Emery-Dreifuss muscular dystrophy 2, autosomal dominant",LMNA,ENSG00000160789,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2A2B",MFN2,ENSG00000116688,Peripheral nerve
"Leukodystrophy, hypomyelinating, 9",RARS1,ENSG00000113643,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2W",HARS1,ENSG00000170445,Peripheral nerve
"Charcot-Marie-Tooth disease, type 2B1",LMNA,ENSG00000160789,Peripheral nerve
Pelizaeus-Merzbacher disease,PLP1,ENSG00000123560,Peripheral nerve
"{Centronuclear myopathy, autosomal, modifier of}",MTMR14,ENSG00000163719,Peripheral nerve
Centronuclear myopathy 1,DNM2,ENSG00000079805,Peripheral nerve
"Neuropathy, hereditary sensory, type IE",DNMT1,ENSG00000130816,Peripheral nerve
"?Charcot-Marie-Tooth disease, axonal, autosomal dominant, type 2K",JPH1,ENSG00000104369,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2K",GDAP1,ENSG00000104381,Peripheral nerve
"Charcot-Marie-Tooth disease, type 4B2",SBF2,ENSG00000133812,Peripheral nerve
"Neuropathy, hereditary sensory, type IF",ATL3,ENSG00000184743,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2T",MME,ENSG00000196549,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2S",IGHMBP2,ENSG00000132740,Peripheral nerve
"Amyotrophic lateral sclerosis 5, juvenile",SPG11,ENSG00000104133,Peripheral nerve
"Leukodystrophy, hypomyelinating, 10",PYCR2,ENSG00000143811,Peripheral nerve
"Neuronopathy, distal hereditary motor, type IIA",HSPB8,ENSG00000152137,Peripheral nerve
"Charcot-Marie-Tooth disease, recessive intermediate C",PLEKHG5,ENSG00000171680,Peripheral nerve
"Neuropathy, hereditary motor and sensory, Russe type",HK1,ENSG00000156515,Peripheral nerve
"Spastic paraplegia 13, autosomal dominant",HSPD1,ENSG00000144381,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2P",LRSAM1,ENSG00000148356,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2F",HSPB1,ENSG00000106211,Peripheral nerve
"Leukodystrophy, hypomyelinating, 4",HSPD1,ENSG00000144381,Peripheral nerve
"Neuropathy, hereditary sensory and autonomic, type IC",SPTLC2,ENSG00000100596,Peripheral nerve
"Charcot-Marie-Tooth disease, X-linked recessive, 5",PRPS1,ENSG00000147224,Peripheral nerve
"Spastic paraplegia 30, autosomal dominant",KIF1A,ENSG00000130294,Peripheral nerve
"Spastic paraplegia 30, autosomal recessive",KIF1A,ENSG00000130294,Peripheral nerve
"Charcot-Marie-Tooth disease, type 1E",PMP22,ENSG00000109099,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2CC",NEFH,ENSG00000100285,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 20",DYNC1H1,ENSG00000197102,Peripheral nerve
"?Neuronopathy, distal hereditary motor, type IIC",HSPB3,ENSG00000169271,Peripheral nerve
"Leukodystrophy, hypomyelinating, 11",POLR1C,ENSG00000171453,Peripheral nerve
"{Amyotrophic lateral sclerosis, susceptibility to}",DCTN1,ENSG00000204843,Peripheral nerve
"{Amyotrophic lateral sclerosis, susceptibility to}",PRPH,ENSG00000135406,Peripheral nerve
Amyotrophic lateral sclerosis 1,SOD1,ENSG00000142168,Peripheral nerve
"?{Amyotrophic lateral sclerosis, susceptibility to}",NEFH,ENSG00000100285,Peripheral nerve
"Insensitivity to pain, congenital, with anhidrosis",NTRK1,ENSG00000198400,Peripheral nerve
"Charcot-Marie-Tooth disease, type 4D",NDRG1,ENSG00000104419,Peripheral nerve
{Major depressive disorder and accelerated response to antidepressant drug treatment},FKBP5,ENSG00000096060,Peripheral nerve
"{Unipolar depression, susceptibility to}",TPH2,ENSG00000139287,Peripheral nerve
Major depressive disorder 1,MDD1,,Peripheral nerve
"{Major depressive disorder, response to citalopram therapy in}",HTR2A,ENSG00000102468,Peripheral nerve
"{Seasonal affective disorder, susceptibility to}",HTR2A,ENSG00000102468,Peripheral nerve
Major depressive disorder 2,MDD2,,Peripheral nerve
"Charcot-Marie-Tooth disease, axonal, type 2A2A",MFN2,ENSG00000116688,Peripheral nerve
"Charcot-Marie-Tooth disease, type 4C",SH3TC2,ENSG00000169247,Peripheral nerve
